Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Churn
0.0,0,1,13.0,4,1,3.0,5,2,3,2,2,1,23.0,1.0,1.0,6.0,160.74,1
19.0,1,1,20.0,4,0,3.0,3,4,4,0,10,1,18.0,1.0,4.0,3.0,149.63,1
0.0,1,3,12.0,4,1,3.0,5,2,3,0,5,1,18.0,6.0,7.0,7.0,161.72,1
20.0,1,1,29.0,3,0,3.0,3,0,2,0,2,0,12.0,6.0,9.0,6.0,203.12,1
9.0,1,3,28.0,5,1,2.0,3,4,3,2,2,1,19.0,0.0,1.0,0.0,123.02000000000001,1
0.0,2,3,26.0,4,0,3.0,5,2,3,0,4,1,11.0,1.0,2.0,2.0,145.59,1
14.0,0,1,14.0,4,1,2.0,5,0,2,2,3,0,15.0,0.0,1.0,3.0,206.5,1
0.0,2,1,15.0,3,0,2.0,3,4,5,2,8,0,22.0,1.0,1.0,4.0,142.0,1
8.0,1,3,6.0,5,1,3.0,3,0,4,0,2,0,13.0,1.0,1.0,6.0,172.95,0
9.0,2,3,12.0,5,1,2.0,3,2,3,0,3,1,20.0,0.0,4.0,5.0,123.06,0
18.0,2,1,14.0,4,1,2.0,3,2,4,1,9,0,18.0,1.0,1.0,11.0,123.47999999999999,0
5.0,0,3,14.0,5,0,2.0,3,0,2,2,2,0,14.0,2.0,3.0,7.0,189.98,0
2.0,0,1,6.0,1,1,2.0,3,2,3,0,2,0,13.0,0.0,1.0,9.0,143.19,0
0.0,1,1,13.0,3,1,2.0,4,2,3,0,3,0,17.0,1.0,1.0,0.0,161.32,0
27.0,2,1,15.0,0,0,3.0,4,3,4,0,5,1,20.0,1.0,1.0,0.0,133.46,0
13.0,1,3,10.0,5,1,3.0,4,0,2,0,8,0,11.0,2.0,2.0,11.0,208.55,0
9.0,0,3,8.0,5,0,3.0,3,3,3,0,7,0,18.0,1.0,1.0,2.0,123.02000000000001,0
0.0,2,1,14.0,0,1,3.0,3,3,2,0,2,0,23.0,0.0,2.0,2.0,123.22999999999999,0
9.0,0,1,15.0,0,1,2.0,3,3,4,1,7,0,18.0,0.0,2.0,2.0,123.02000000000001,0
1.0,2,1,27.0,0,1,3.0,3,3,2,0,2,0,11.0,0.0,1.0,2.0,127.13,0
27.0,1,1,30.0,4,1,2.0,2,0,2,1,4,1,16.0,1.0,1.0,4.0,194.39,0
0.0,0,1,14.0,0,1,3.0,4,3,3,1,2,1,15.0,0.0,1.0,1.0,125.66,0
23.0,1,1,17.0,4,0,2.0,3,5,4,2,4,0,15.0,2.0,4.0,4.0,291.97,0
14.0,2,1,14.0,4,1,2.0,3,3,3,1,5,0,12.0,1.0,1.0,8.0,124.50999999999999,0
3.0,1,3,11.0,4,0,2.0,3,0,2,0,3,0,12.0,2.0,7.0,4.0,194.19,0
11.0,1,3,6.0,4,0,2.0,4,2,2,2,5,0,22.0,1.0,1.0,1.0,186.86,0
5.0,2,1,12.0,4,1,3.0,3,3,3,2,4,0,20.0,0.0,1.0,4.0,130.38,0
0.0,2,1,23.0,1,1,3.0,3,3,4,0,1,1,16.0,1.0,1.0,1.0,130.58,0
0.0,0,3,14.0,1,0,3.0,5,3,5,2,1,0,21.0,1.0,1.0,0.0,123.25,1
9.0,0,1,9.0,0,1,2.0,3,3,4,2,5,0,12.0,4.0,7.0,2.0,123.02000000000001,0
3.0,0,1,15.0,0,1,3.0,3,2,5,1,2,0,11.0,0.0,6.0,10.0,130.72,0
18.0,1,3,10.0,4,0,2.0,3,2,5,1,5,1,11.0,0.0,1.0,3.0,150.06,0
27.0,2,1,14.0,4,0,3.0,3,4,5,1,5,1,18.0,1.0,2.0,2.0,142.57,0
6.0,2,1,14.0,4,1,2.0,3,3,2,2,1,0,14.0,0.0,1.0,2.0,125.0,0
0.0,1,1,8.0,4,1,2.0,4,4,2,2,2,0,22.0,0.0,1.0,0.0,123.02000000000001,1
19.0,1,3,6.0,5,0,3.0,3,0,5,1,2,0,23.0,4.0,9.0,7.0,204.53,0
9.0,2,1,15.0,4,0,3.0,3,3,2,2,2,0,12.0,1.0,2.0,1.0,123.02000000000001,0
4.0,2,1,18.0,3,0,3.0,3,4,2,0,9,1,23.0,1.0,1.0,2.0,139.29,0
9.0,2,1,32.0,0,0,3.0,3,3,4,2,3,0,15.0,1.0,1.0,2.0,123.11000000000001,0
4.0,2,3,26.0,5,0,3.0,3,3,4,2,2,1,22.0,0.0,1.0,2.0,131.4,1
23.0,2,1,6.0,3,1,2.0,4,4,3,0,3,0,15.0,0.0,1.0,2.0,136.9,0
26.0,2,1,19.0,3,0,2.0,2,2,5,1,2,0,11.0,1.0,1.0,3.0,144.5,0
6.0,2,1,20.0,0,0,3.0,3,3,4,0,2,0,13.0,0.0,1.0,6.0,127.56,0
13.0,1,1,10.0,3,0,2.0,3,5,3,0,2,0,14.0,1.0,9.0,9.0,290.33,0
27.0,1,1,20.0,3,1,3.0,2,5,4,2,9,0,11.0,1.0,2.0,11.0,287.22,0
7.0,0,1,8.0,4,1,2.0,4,2,3,0,2,0,17.0,0.0,1.0,9.0,195.47,0
24.0,1,1,9.0,3,0,3.0,3,1,4,2,4,0,18.0,0.0,2.0,0.0,237.33999999999997,0
25.0,1,1,6.0,4,1,3.0,4,5,3,0,1,0,15.0,1.0,9.0,9.0,291.97,0
9.0,2,1,15.0,0,0,2.0,3,3,4,2,2,0,16.0,1.0,1.0,3.0,123.02000000000001,0
0.0,1,1,29.0,4,1,2.0,4,2,3,0,4,1,13.0,1.0,1.0,1.0,159.16,1
9.0,0,1,13.0,0,1,2.0,2,3,2,1,5,0,14.0,0.0,2.0,2.0,123.02000000000001,0
18.0,0,1,8.0,3,1,3.0,4,1,2,0,10,0,23.0,1.0,9.0,8.0,267.92,0
10.0,2,1,27.0,4,1,3.0,2,4,5,0,2,1,12.0,0.0,1.0,7.0,135.64,0
8.0,0,1,8.0,3,0,2.0,3,2,4,2,6,0,11.0,1.0,1.0,2.0,144.25,0
15.0,0,1,27.0,3,0,2.0,3,2,3,1,3,0,16.0,0.0,1.0,2.0,152.65,0
11.0,1,1,8.0,4,1,2.0,3,2,3,0,10,0,14.0,0.0,1.0,0.0,165.53,0
11.0,1,1,32.0,1,1,2.0,3,2,2,0,4,0,18.0,0.0,1.0,7.0,162.61,0
0.0,0,1,6.0,1,1,2.0,4,2,5,0,6,0,19.0,0.0,2.0,0.0,142.98,0
22.0,0,1,24.0,4,1,3.0,3,2,2,1,2,1,15.0,0.0,1.0,7.0,168.04,0
7.0,0,1,16.0,3,1,2.0,3,4,3,1,2,1,17.0,2.0,2.0,0.0,138.15,0
13.0,2,1,25.0,0,1,3.0,3,2,2,0,9,1,15.0,1.0,3.0,7.0,127.41,0
1.0,1,1,32.0,3,1,3.0,3,2,5,0,8,1,19.0,0.0,1.0,0.0,166.73,1
0.0,1,3,32.0,5,0,2.0,3,0,2,0,2,0,22.0,1.0,1.0,9.0,176.39,1
0.0,2,1,14.0,4,1,2.0,2,3,4,1,2,1,16.0,0.0,2.0,2.0,123.28,0
9.0,0,1,24.0,0,0,3.0,3,3,2,2,2,0,13.0,1.0,1.0,7.0,123.02000000000001,0
13.0,0,1,15.0,4,1,3.0,4,2,2,0,10,0,14.0,1.0,1.0,2.0,148.76,0
19.0,1,1,6.0,3,1,3.0,3,0,5,1,8,0,16.0,0.0,1.0,3.0,193.96,0
0.0,1,3,10.0,3,1,2.0,5,0,2,0,2,0,11.0,6.0,9.0,8.0,204.0,1
3.0,0,1,6.0,4,1,2.0,4,0,3,2,2,0,22.0,2.0,5.0,8.0,184.74,0
0.0,0,3,26.0,4,0,2.0,3,2,3,2,2,0,14.0,1.0,1.0,7.0,199.81,0
24.0,1,1,14.0,4,1,2.0,4,0,4,0,6,0,16.0,1.0,4.0,3.0,224.89999999999998,0
0.0,2,1,14.0,1,0,2.0,3,3,5,2,6,1,11.0,1.0,1.0,4.0,126.57,1
14.0,1,3,12.0,4,0,3.0,3,0,2,2,4,1,18.0,0.0,2.0,0.0,235.91000000000003,0
0.0,0,3,32.0,5,0,2.0,4,2,5,2,6,0,15.0,0.0,1.0,1.0,166.96,1
9.0,2,1,6.0,2,1,2.0,3,3,3,2,1,0,14.0,0.0,1.0,5.0,123.02000000000001,1
18.0,0,3,12.0,3,0,2.0,4,0,2,2,7,0,12.0,6.0,9.0,8.0,188.65,0
27.0,1,3,9.0,5,0,2.0,3,2,5,0,3,0,14.0,1.0,1.0,5.0,159.4,0
9.0,1,1,11.0,4,1,3.0,3,2,4,2,9,0,16.0,0.0,3.0,7.0,159.14,0
6.0,2,1,14.0,0,0,2.0,4,3,4,0,7,0,21.0,0.0,1.0,1.0,126.22,0
10.0,0,1,17.0,6,1,2.0,3,0,2,1,2,1,14.0,0.0,1.0,3.0,221.85000000000002,0
11.0,1,3,9.0,4,1,3.0,3,0,3,1,1,0,12.0,1.0,5.0,11.0,206.08999999999997,0
4.0,0,1,6.0,3,1,2.0,5,2,3,0,1,0,12.0,1.0,1.0,4.0,143.45,0
9.0,2,1,9.0,4,1,3.0,4,3,2,0,4,0,17.0,0.0,1.0,0.0,123.02000000000001,0
10.0,0,3,10.0,5,1,2.0,3,4,2,1,5,0,17.0,1.0,5.0,8.0,123.02000000000001,0
2.0,0,3,6.0,3,0,2.0,3,0,2,0,2,0,14.0,4.0,4.0,1.0,179.18,0
8.0,0,3,6.0,5,0,3.0,3,0,3,2,2,0,14.0,1.0,1.0,8.0,187.89,0
0.0,2,1,14.0,0,1,2.0,4,3,2,2,2,1,13.0,0.0,1.0,1.0,123.88999999999999,1
25.0,2,1,8.0,4,0,2.0,4,3,2,2,8,0,15.0,0.0,2.0,2.0,132.12,0
15.0,1,1,10.0,2,1,2.0,3,5,2,0,2,0,15.0,0.0,9.0,11.0,291.97,0
9.0,2,2,12.0,0,1,2.0,3,3,3,0,9,0,17.0,2.0,2.0,2.0,123.02000000000001,0
23.0,1,3,6.0,3,0,3.0,3,5,2,1,4,0,15.0,1.0,1.0,6.0,291.97,0
0.0,2,1,14.0,0,1,2.0,3,3,2,0,6,1,13.0,0.0,1.0,4.0,124.36000000000001,1
16.0,1,3,22.0,5,0,3.0,3,1,2,0,6,1,22.0,0.0,2.0,9.0,260.64,0
0.0,2,1,8.0,4,0,3.0,3,3,5,0,8,0,20.0,1.0,1.0,7.0,127.07,1
25.0,0,3,8.0,4,1,3.0,4,5,3,2,2,1,18.0,1.0,9.0,11.0,290.68,0
5.0,2,3,10.0,4,0,2.0,3,4,4,0,3,0,11.0,1.0,1.0,2.0,139.31,0
0.0,2,1,6.0,4,1,3.0,4,4,3,2,1,1,14.0,1.0,1.0,2.0,137.3,1
9.0,2,1,6.0,0,0,3.0,3,3,3,1,8,0,14.0,0.0,1.0,2.0,123.02000000000001,0
5.0,0,3,32.0,5,1,3.0,3,2,2,0,1,0,18.0,1.0,2.0,2.0,144.65,0
14.0,2,1,25.0,4,1,3.0,3,2,5,1,3,0,16.0,1.0,1.0,0.0,130.72,0
13.0,2,1,30.0,1,1,3.0,3,2,2,1,2,0,17.0,2.0,4.0,7.0,133.19,0
18.0,1,1,6.0,6,1,3.0,2,5,2,0,1,0,15.0,1.0,1.0,7.0,291.97,0
4.0,0,1,9.0,3,1,3.0,3,0,3,1,10,0,12.0,1.0,2.0,2.0,236.75,0
6.0,2,1,11.0,4,0,3.0,4,3,2,0,2,0,13.0,0.0,1.0,2.0,129.11,0
7.0,1,1,8.0,4,1,2.0,4,2,5,0,7,0,13.0,0.0,5.0,9.0,159.57,0
10.0,2,1,6.0,3,0,2.0,4,4,5,0,3,0,14.0,1.0,1.0,2.0,139.2,0
18.0,0,1,13.0,4,1,3.0,2,2,3,0,5,0,17.0,0.0,1.0,2.0,164.34,0
0.0,0,1,16.0,3,1,3.0,3,0,3,1,7,0,11.0,1.0,1.0,0.0,200.48,1
12.0,0,1,8.0,2,0,3.0,3,0,3,2,1,0,23.0,6.0,9.0,3.0,209.38,0
2.0,2,1,14.0,4,1,2.0,3,3,2,2,2,0,19.0,0.0,1.0,5.0,123.4,0
15.0,1,1,23.0,4,0,2.0,2,2,5,2,4,1,13.0,0.0,1.0,2.0,165.45,0
2.0,1,3,26.0,5,1,2.0,3,2,2,1,3,0,14.0,1.0,1.0,2.0,169.31,0
0.0,2,1,6.0,4,0,3.0,3,2,3,0,1,0,12.0,1.0,1.0,2.0,148.98,0
15.0,2,1,14.0,0,0,2.0,4,3,5,1,1,1,11.0,4.0,7.0,8.0,125.93,0
13.0,1,1,8.0,3,1,2.0,3,5,3,1,1,0,15.0,0.0,3.0,9.0,291.97,0
24.0,2,1,6.0,4,1,3.0,3,3,2,0,2,0,11.0,1.0,1.0,0.0,127.22999999999999,0
0.0,0,1,32.0,0,1,3.0,4,3,4,2,1,0,11.0,1.0,1.0,4.0,134.79,1
5.0,0,1,13.0,4,1,3.0,2,3,4,0,2,0,20.0,0.0,1.0,3.0,127.94,0
11.0,0,3,8.0,4,1,2.0,4,2,2,0,4,0,18.0,6.0,7.0,5.0,152.49,0
9.0,2,1,8.0,2,1,2.0,4,2,5,2,5,0,13.0,0.0,1.0,4.0,123.02000000000001,0
19.0,1,3,8.0,2,0,3.0,5,1,4,0,4,1,12.0,1.0,7.0,7.0,268.72,0
0.0,2,1,8.0,4,1,3.0,3,3,3,2,3,0,11.0,1.0,1.0,0.0,134.85,1
2.0,1,3,8.0,3,1,3.0,4,2,4,0,3,0,19.0,0.0,1.0,0.0,166.44,0
4.0,1,1,29.0,3,1,3.0,4,2,2,0,1,0,21.0,1.0,7.0,8.0,155.82,0
0.0,0,1,11.0,4,1,2.0,2,2,5,1,2,0,12.0,1.0,1.0,5.0,140.0,0
18.0,1,1,26.0,3,1,3.0,3,1,2,0,1,1,14.0,0.0,2.0,10.0,234.95999999999998,0
9.0,2,1,12.0,4,1,2.0,3,3,2,0,1,0,11.0,4.0,9.0,11.0,132.1,0
27.0,1,1,6.0,3,1,2.0,3,5,5,2,1,1,14.0,1.0,4.0,11.0,290.45,0
10.0,0,1,32.0,4,1,2.0,3,0,4,0,2,1,12.0,5.0,9.0,3.0,218.49,1
9.0,2,1,15.0,0,1,3.0,3,3,2,0,2,0,23.0,1.0,1.0,4.0,123.02000000000001,0
10.0,1,3,12.0,3,1,3.0,3,2,2,0,5,0,14.0,0.0,1.0,1.0,165.02,0
0.0,2,1,9.0,0,1,3.0,4,3,3,2,2,0,17.0,1.0,1.0,0.0,132.3,0
10.0,0,1,6.0,3,0,2.0,3,0,2,1,3,1,18.0,0.0,2.0,2.0,236.02999999999997,0
2.0,1,1,28.0,4,0,3.0,2,0,4,1,8,0,18.0,5.0,6.0,3.0,219.95999999999998,0
11.0,1,3,13.0,3,0,2.0,2,2,5,1,2,1,23.0,0.0,7.0,7.0,156.05,0
0.0,0,1,6.0,4,0,2.0,3,2,4,1,2,0,20.0,0.0,1.0,4.0,163.97,0
23.0,1,1,10.0,4,1,3.0,3,5,4,1,4,0,14.0,1.0,1.0,6.0,291.44,0
26.0,1,1,9.0,3,1,2.0,3,1,3,0,4,1,16.0,1.0,1.0,3.0,275.84,0
15.0,2,3,6.0,4,1,2.0,3,2,3,0,2,0,23.0,4.0,9.0,6.0,149.07,0
2.0,0,3,8.0,4,1,2.0,3,2,2,2,2,0,18.0,0.0,1.0,9.0,145.54,0
27.0,1,1,26.0,1,1,2.0,3,2,2,0,4,1,19.0,1.0,1.0,8.0,154.15,0
0.0,0,1,17.0,3,1,2.0,3,2,5,0,2,1,13.0,2.0,3.0,3.0,147.41,0
9.0,2,1,6.0,4,0,2.0,3,3,2,2,2,0,12.0,1.0,5.0,7.0,123.02000000000001,0
7.0,0,1,30.0,4,1,3.0,3,3,3,1,4,1,22.0,0.0,1.0,0.0,131.61,1
11.0,1,1,29.0,4,1,2.0,3,2,2,1,10,0,14.0,0.0,1.0,2.0,157.45,0
0.0,2,1,14.0,0,1,2.0,3,3,4,1,3,1,13.0,1.0,1.0,2.0,123.72999999999999,1
1.0,2,1,14.0,4,0,3.0,3,3,2,2,2,0,21.0,0.0,1.0,2.0,133.1,0
22.0,0,1,16.0,4,0,2.0,3,5,5,2,10,1,11.0,1.0,1.0,2.0,286.65,0
9.0,2,1,9.0,1,1,2.0,3,2,4,2,5,0,12.0,6.0,7.0,7.0,144.85,0
4.0,0,3,11.0,5,0,3.0,3,3,4,1,2,0,11.0,0.0,2.0,2.0,127.88999999999999,0
0.0,1,3,10.0,5,1,2.0,4,2,2,2,2,1,12.0,6.0,7.0,4.0,158.28,1
10.0,0,1,14.0,0,1,2.0,3,3,2,0,2,1,12.0,0.0,1.0,2.0,123.25999999999999,0
15.0,0,3,32.0,5,0,3.0,3,1,4,0,6,0,14.0,2.0,2.0,8.0,235.25,0
9.0,1,1,9.0,4,1,2.0,3,4,3,2,2,0,13.0,0.0,1.0,0.0,123.02000000000001,1
8.0,1,3,22.0,5,1,3.0,3,0,4,0,1,0,15.0,3.0,6.0,9.0,180.2,0
9.0,0,1,24.0,4,1,2.0,2,4,2,0,5,0,18.0,0.0,1.0,0.0,136.88,0
24.0,1,1,8.0,3,1,2.0,5,2,4,1,6,0,18.0,0.0,1.0,2.0,154.82,0
14.0,1,3,8.0,4,1,2.0,3,1,4,2,2,0,19.0,1.0,2.0,4.0,260.15,0
0.0,1,3,16.0,3,0,3.0,4,4,3,2,2,0,12.0,1.0,1.0,0.0,123.02000000000001,0
1.0,1,1,22.0,3,1,3.0,2,2,5,2,1,0,19.0,0.0,1.0,7.0,156.61,0
4.0,1,3,13.0,1,1,3.0,2,2,2,0,5,0,11.0,3.0,7.0,7.0,169.29,0
12.0,1,1,6.0,3,1,2.0,2,0,2,1,1,0,17.0,3.0,3.0,7.0,196.13,0
9.0,0,1,30.0,4,0,2.0,3,2,4,0,8,0,15.0,0.0,1.0,8.0,156.74,0
5.0,1,3,13.0,4,1,3.0,4,2,3,0,2,0,14.0,1.0,4.0,8.0,154.84,0
11.0,1,1,31.0,4,0,2.0,4,0,4,0,4,0,17.0,1.0,1.0,3.0,220.61,0
27.0,0,1,6.0,4,1,2.0,5,2,3,1,3,1,13.0,1.0,1.0,2.0,156.6,0
4.0,2,1,11.0,1,1,2.0,3,4,2,0,1,1,12.0,0.0,1.0,3.0,148.21,0
4.0,1,2,8.0,6,1,3.0,4,2,5,0,4,0,12.0,0.0,1.0,0.0,164.1,0
18.0,0,1,13.0,4,1,3.0,3,0,5,1,2,0,18.0,5.0,9.0,11.0,152.1,0
4.0,2,1,8.0,4,1,3.0,3,3,2,1,1,1,18.0,1.0,2.0,2.0,126.94999999999999,0
6.0,0,1,11.0,4,0,3.0,3,0,4,0,7,0,11.0,2.0,8.0,3.0,218.77999999999997,0
12.0,1,1,16.0,3,1,2.0,3,1,5,0,2,1,14.0,1.0,9.0,10.0,270.68,0
16.0,0,1,14.0,4,0,2.0,3,3,2,2,1,0,19.0,0.0,1.0,7.0,124.55000000000001,0
22.0,1,1,6.0,2,0,2.0,4,1,3,2,8,1,12.0,1.0,2.0,7.0,239.64,0
15.0,2,1,14.0,3,1,2.0,4,2,4,0,3,0,15.0,6.0,7.0,7.0,149.41,1
0.0,2,1,14.0,4,0,2.0,3,3,4,2,2,1,12.0,0.0,1.0,2.0,124.78,0
5.0,1,3,14.0,1,0,3.0,4,2,4,0,2,1,11.0,6.0,9.0,9.0,152.28,0
0.0,2,3,8.0,4,1,3.0,3,2,3,2,2,1,11.0,1.0,1.0,4.0,144.78,0
4.0,1,3,13.0,5,1,3.0,3,2,2,1,5,0,12.0,0.0,1.0,7.0,175.47,0
5.0,1,1,8.0,3,0,3.0,2,2,2,2,8,0,16.0,1.0,1.0,7.0,150.55,0
0.0,2,1,8.0,0,1,2.0,5,3,2,0,6,1,13.0,2.0,2.0,2.0,134.64,1
3.0,1,1,32.0,3,0,3.0,3,2,2,0,2,0,13.0,0.0,1.0,9.0,157.75,0
4.0,0,1,13.0,4,0,2.0,4,0,3,0,2,0,23.0,3.0,8.0,9.0,189.43,0
12.0,0,1,6.0,3,1,2.0,4,5,2,0,2,0,15.0,6.0,9.0,3.0,291.97,0
2.0,1,3,9.0,3,0,2.0,3,2,3,0,5,1,18.0,1.0,1.0,0.0,152.38,1
6.0,0,3,16.0,5,1,2.0,4,2,2,2,4,0,14.0,1.0,1.0,1.0,146.82,0
20.0,1,1,11.0,4,1,2.0,3,5,3,0,5,0,11.0,1.0,1.0,1.0,283.0,0
16.0,0,1,16.0,4,0,2.0,4,2,3,1,2,0,11.0,0.0,1.0,0.0,152.57,0
0.0,0,3,6.0,5,1,3.0,3,2,4,0,1,1,13.0,0.0,1.0,4.0,163.49,0
27.0,0,1,26.0,4,0,2.0,3,2,3,2,4,0,12.0,1.0,1.0,3.0,148.69,0
16.0,1,1,13.0,4,0,2.0,3,0,5,0,9,0,16.0,1.0,1.0,0.0,199.85,0
18.0,2,1,14.0,6,1,3.0,3,2,2,0,10,0,14.0,6.0,9.0,8.0,136.97,0
13.0,1,3,6.0,3,1,2.0,5,2,2,0,3,1,22.0,1.0,1.0,2.0,174.57,0
9.0,2,1,14.0,6,1,3.0,5,3,5,0,2,1,11.0,1.0,1.0,7.0,123.02000000000001,1
2.0,2,1,15.0,6,1,2.0,4,4,2,2,1,0,17.0,2.0,2.0,2.0,139.83,0
3.0,1,3,11.0,5,0,2.0,4,2,3,1,2,0,13.0,0.0,1.0,2.0,161.18,0
0.0,1,3,14.0,5,0,2.0,3,2,4,0,2,0,18.0,0.0,1.0,7.0,162.14,0
10.0,1,1,11.0,3,1,3.0,3,2,2,1,8,0,16.0,0.0,1.0,4.0,163.47,0
11.0,1,1,21.0,4,1,3.0,4,0,2,1,1,1,14.0,1.0,2.0,3.0,215.10000000000002,0
4.0,1,1,13.0,3,0,2.0,3,0,2,2,2,1,14.0,2.0,4.0,10.0,171.43,0
2.0,1,3,16.0,5,0,2.0,4,2,4,1,2,1,14.0,0.0,1.0,7.0,182.68,0
8.0,1,1,11.0,1,1,3.0,3,0,4,2,1,0,13.0,0.0,1.0,11.0,180.95,0
0.0,2,1,32.0,4,1,3.0,3,3,2,1,2,0,12.0,1.0,1.0,2.0,129.04,0
14.0,1,1,12.0,3,1,3.0,4,2,4,2,7,1,15.0,1.0,1.0,2.0,160.32,0
20.0,0,3,10.0,0,1,3.0,3,2,3,2,4,0,19.0,0.0,1.0,0.0,129.76,0
15.0,1,1,29.0,4,0,2.0,3,1,2,2,3,0,14.0,0.0,2.0,0.0,259.92,0
2.0,0,3,8.0,4,1,3.0,3,2,3,0,2,0,14.0,1.0,1.0,2.0,146.49,0
15.0,2,2,8.0,1,1,3.0,3,3,3,1,1,1,11.0,1.0,1.0,0.0,126.96000000000001,0
5.0,2,1,14.0,0,0,3.0,3,3,4,0,2,0,13.0,0.0,1.0,7.0,123.69999999999999,0
21.0,1,3,32.0,3,0,3.0,3,0,3,0,4,0,21.0,0.0,1.0,3.0,225.04000000000002,0
10.0,1,1,12.0,3,1,2.0,2,2,5,1,5,1,13.0,2.0,6.0,7.0,159.74,0
3.0,0,3,31.0,1,0,2.0,3,2,3,0,8,1,12.0,1.0,2.0,2.0,147.36,0
0.0,1,3,6.0,4,1,2.0,3,2,3,0,2,0,17.0,2.0,7.0,7.0,152.96,0
15.0,1,1,8.0,6,1,3.0,4,2,2,2,4,0,23.0,0.0,1.0,0.0,167.81,0
9.0,0,3,6.0,2,0,2.0,4,3,4,2,2,1,11.0,1.0,1.0,2.0,123.02000000000001,1
9.0,0,3,6.0,3,0,2.0,3,2,2,2,5,0,15.0,1.0,1.0,0.0,166.53,0
9.0,0,3,9.0,3,1,2.0,4,0,2,0,5,0,11.0,0.0,1.0,11.0,196.99,0
27.0,1,1,6.0,3,1,2.0,3,2,3,0,3,0,11.0,1.0,1.0,2.0,167.55,0
9.0,2,1,16.0,4,0,2.0,2,3,3,0,4,1,13.0,0.0,1.0,7.0,123.02000000000001,0
0.0,0,3,14.0,0,1,2.0,3,3,2,2,2,0,23.0,0.0,2.0,2.0,126.1,0
0.0,2,3,11.0,5,0,3.0,3,3,3,2,2,1,13.0,1.0,1.0,0.0,128.51,1
10.0,2,1,16.0,0,0,3.0,3,3,5,0,7,0,20.0,1.0,1.0,3.0,134.52,0
19.0,0,1,13.0,3,0,2.0,3,2,3,0,3,0,14.0,0.0,1.0,0.0,152.58,0
4.0,0,3,10.0,5,1,2.0,3,2,4,2,2,0,18.0,6.0,7.0,7.0,193.55,1
23.0,1,1,16.0,2,1,3.0,4,0,2,2,7,0,15.0,0.0,1.0,3.0,204.96,0
3.0,1,3,28.0,5,1,3.0,4,2,3,0,3,1,12.0,1.0,1.0,0.0,163.8,1
4.0,2,1,14.0,4,1,2.0,4,3,4,2,1,1,16.0,1.0,2.0,2.0,126.57,0
0.0,2,3,18.0,4,0,3.0,2,3,4,2,2,0,15.0,0.0,1.0,0.0,127.16,1
9.0,2,1,29.0,4,1,2.0,3,3,2,2,10,0,16.0,1.0,1.0,2.0,123.02000000000001,0
8.0,1,1,15.0,4,1,3.0,4,2,4,2,10,0,19.0,1.0,1.0,0.0,165.4,0
0.0,2,1,6.0,3,1,2.0,3,4,4,1,2,0,11.0,0.0,1.0,4.0,138.16,0
